state_id,state,capability_id,capability,manufacturing_scale,manufacturing_value_added,high_technology_capacity,industrial_complexity,supply_chain_depth,capital_goods_capacity,quality,persistence,uniqueness,demonstrated_capability,recognition_level,evidence_confidence,primary_sources,reference_period,notes
1,United States,6,Advanced Industrial Capacity,0.98,0.97,0.99,0.99,0.96,0.98,0.98,0.99,0.98,0.98,4,0.97,"UNIDO CIP; UNIDO INDSTAT; WIPO GII 2025",2024-2025,"Systemic diversified industrial and high-technology base; very high capital-goods, aerospace, semiconductor-design, energy, pharmaceutical and advanced-manufacturing capability."
2,Russia,6,Advanced Industrial Capacity,0.82,0.83,0.77,0.78,0.81,0.82,0.82,0.98,0.90,0.84,3,0.82,"UNIDO CIP; UNIDO INDSTAT; WIPO GII 2025",2024-2025,"Deep heavy-industry, energy, metallurgy, aerospace, nuclear and defence-industrial capabilities; high sanctions and supply-chain constraints create uncertainty in some advanced segments."
3,United Kingdom,6,Advanced Industrial Capacity,0.82,0.79,0.89,0.88,0.80,0.82,0.88,0.98,0.88,0.88,3,0.88,"UNIDO CIP; UNIDO INDSTAT; WIPO GII 2025",2024-2025,"Advanced aerospace, pharmaceuticals, chemicals, defence, precision engineering and high-value manufacturing; smaller mass-manufacturing base than the largest industrial States."
4,France,6,Advanced Industrial Capacity,0.86,0.85,0.91,0.90,0.84,0.88,0.90,0.98,0.90,0.90,3,0.89,"UNIDO CIP; UNIDO INDSTAT; WIPO GII 2025",2024-2025,"Highly diversified advanced industrial base including aerospace, nuclear, transport, chemicals, machinery and defence."
5,China,6,Advanced Industrial Capacity,0.99,0.99,0.96,0.98,0.99,0.98,0.96,0.99,0.96,0.98,4,0.96,"UNIDO CIP; UNIDO INDSTAT; WIPO GII 2025",2024-2025,"Exceptional manufacturing scale, supply-chain depth, industrial diversification and increasing high-technology output; systemic global manufacturing role."
6,India,6,Advanced Industrial Capacity,0.83,0.81,0.78,0.76,0.82,0.78,0.80,0.98,0.84,0.83,3,0.84,"UNIDO CIP; UNIDO INDSTAT; WIPO GII 2025",2024-2025,"Large and diversifying industrial base spanning pharmaceuticals, automotive, engineering, chemicals, steel, aerospace and electronics; substantial room for frontier manufacturing expansion."
7,Pakistan,6,Advanced Industrial Capacity,0.57,0.55,0.42,0.46,0.57,0.47,0.55,0.96,0.63,0.56,2,0.73,"UNIDO CIP; UNIDO INDSTAT; WIPO GII 2025",2024-2025,"Meaningful textile, food, chemicals, engineering and defence production; advanced-industrial depth is narrower than that of the leading manufacturing States."
8,North Korea,6,Advanced Industrial Capacity,0.46,0.44,0.39,0.40,0.43,0.42,0.43,0.98,0.67,0.40,1,0.55,"UNIDO country/industrial statistics where available; specialist open-source assessments",2024-2025,"Significant military, mining, metallurgy and basic industrial capabilities, but severe data limitations and constrained access to advanced global supply chains."
9,Israel,6,Advanced Industrial Capacity,0.72,0.67,0.92,0.88,0.66,0.70,0.88,0.99,0.91,0.86,3,0.84,"UNIDO CIP; WIPO GII 2025",2024-2025,"Small aggregate manufacturing base but unusually high-value aerospace, defence, electronics, semiconductor-design, medical and precision-technology capabilities."
10,Switzerland,6,Advanced Industrial Capacity,0.63,0.62,0.91,0.93,0.65,0.76,0.94,0.99,0.94,0.90,3,0.90,"UNIDO CIP; WIPO GII 2025",2024-2025,"Small but highly sophisticated industrial base concentrated in precision engineering, pharmaceuticals, chemicals, machinery, medical technologies and high-value manufacturing."
11,Belgium,6,Advanced Industrial Capacity,0.65,0.64,0.78,0.80,0.73,0.67,0.80,0.98,0.79,0.77,2,0.86,"UNIDO CIP; UNIDO INDSTAT; WIPO GII 2025",2024-2025,"Highly integrated European industrial economy with strong chemicals, pharmaceuticals, machinery, materials and logistics-linked manufacturing."
12,Taiwan,6,Advanced Industrial Capacity,0.80,0.79,0.99,0.96,0.98,0.88,0.97,0.99,0.98,0.98,4,0.95,"UNIDO CIP where available; WIPO GII 2025; specialist semiconductor-industry statistics",2024-2025,"Systemically important advanced manufacturing and semiconductor ecosystem with exceptional supply-chain depth and technological specialization."
