state_id,state,capability_id,capability,R,Q,P,U,D,evidence_confidence,source,date,notes
1,United States,1,Nuclear and Strategic Deterrence,,,,,,,,,
1,United States,2,Conventional Military Power,,,,,,,,,
1,United States,3,Economic Production,,,,,,,,,
1,United States,4,Financial and Monetary Power,,,,,,,,,
1,United States,5,Science and Technology,,,,,,,,,
1,United States,6,Advanced Industrial Capacity,,,,,,,,,
1,United States,7,Energy and Resource Security,,,,,,,,,
1,United States,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
1,United States,9,Infrastructure and Logistics,,,,,,,,,
1,United States,10,Diplomatic and Institutional Power,,,,,,,,,
1,United States,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
1,United States,12,Civilizational and Social Resilience,,,,,,,,,
2,Russia,1,Nuclear and Strategic Deterrence,,,,,,,,,
2,Russia,2,Conventional Military Power,,,,,,,,,
2,Russia,3,Economic Production,,,,,,,,,
2,Russia,4,Financial and Monetary Power,,,,,,,,,
2,Russia,5,Science and Technology,,,,,,,,,
2,Russia,6,Advanced Industrial Capacity,,,,,,,,,
2,Russia,7,Energy and Resource Security,,,,,,,,,
2,Russia,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
2,Russia,9,Infrastructure and Logistics,,,,,,,,,
2,Russia,10,Diplomatic and Institutional Power,,,,,,,,,
2,Russia,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
2,Russia,12,Civilizational and Social Resilience,,,,,,,,,
3,United Kingdom,1,Nuclear and Strategic Deterrence,,,,,,,,,
3,United Kingdom,2,Conventional Military Power,,,,,,,,,
3,United Kingdom,3,Economic Production,,,,,,,,,
3,United Kingdom,4,Financial and Monetary Power,,,,,,,,,
3,United Kingdom,5,Science and Technology,,,,,,,,,
3,United Kingdom,6,Advanced Industrial Capacity,,,,,,,,,
3,United Kingdom,7,Energy and Resource Security,,,,,,,,,
3,United Kingdom,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
3,United Kingdom,9,Infrastructure and Logistics,,,,,,,,,
3,United Kingdom,10,Diplomatic and Institutional Power,,,,,,,,,
3,United Kingdom,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
3,United Kingdom,12,Civilizational and Social Resilience,,,,,,,,,
4,France,1,Nuclear and Strategic Deterrence,,,,,,,,,
4,France,2,Conventional Military Power,,,,,,,,,
4,France,3,Economic Production,,,,,,,,,
4,France,4,Financial and Monetary Power,,,,,,,,,
4,France,5,Science and Technology,,,,,,,,,
4,France,6,Advanced Industrial Capacity,,,,,,,,,
4,France,7,Energy and Resource Security,,,,,,,,,
4,France,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
4,France,9,Infrastructure and Logistics,,,,,,,,,
4,France,10,Diplomatic and Institutional Power,,,,,,,,,
4,France,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
4,France,12,Civilizational and Social Resilience,,,,,,,,,
5,China,1,Nuclear and Strategic Deterrence,,,,,,,,,
5,China,2,Conventional Military Power,,,,,,,,,
5,China,3,Economic Production,,,,,,,,,
5,China,4,Financial and Monetary Power,,,,,,,,,
5,China,5,Science and Technology,,,,,,,,,
5,China,6,Advanced Industrial Capacity,,,,,,,,,
5,China,7,Energy and Resource Security,,,,,,,,,
5,China,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
5,China,9,Infrastructure and Logistics,,,,,,,,,
5,China,10,Diplomatic and Institutional Power,,,,,,,,,
5,China,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
5,China,12,Civilizational and Social Resilience,,,,,,,,,
6,India,1,Nuclear and Strategic Deterrence,,,,,,,,,
6,India,2,Conventional Military Power,,,,,,,,,
6,India,3,Economic Production,,,,,,,,,
6,India,4,Financial and Monetary Power,,,,,,,,,
6,India,5,Science and Technology,,,,,,,,,
6,India,6,Advanced Industrial Capacity,,,,,,,,,
6,India,7,Energy and Resource Security,,,,,,,,,
6,India,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
6,India,9,Infrastructure and Logistics,,,,,,,,,
6,India,10,Diplomatic and Institutional Power,,,,,,,,,
6,India,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
6,India,12,Civilizational and Social Resilience,,,,,,,,,
7,Pakistan,1,Nuclear and Strategic Deterrence,,,,,,,,,
7,Pakistan,2,Conventional Military Power,,,,,,,,,
7,Pakistan,3,Economic Production,,,,,,,,,
7,Pakistan,4,Financial and Monetary Power,,,,,,,,,
7,Pakistan,5,Science and Technology,,,,,,,,,
7,Pakistan,6,Advanced Industrial Capacity,,,,,,,,,
7,Pakistan,7,Energy and Resource Security,,,,,,,,,
7,Pakistan,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
7,Pakistan,9,Infrastructure and Logistics,,,,,,,,,
7,Pakistan,10,Diplomatic and Institutional Power,,,,,,,,,
7,Pakistan,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
7,Pakistan,12,Civilizational and Social Resilience,,,,,,,,,
8,North Korea,1,Nuclear and Strategic Deterrence,,,,,,,,,
8,North Korea,2,Conventional Military Power,,,,,,,,,
8,North Korea,3,Economic Production,,,,,,,,,
8,North Korea,4,Financial and Monetary Power,,,,,,,,,
8,North Korea,5,Science and Technology,,,,,,,,,
8,North Korea,6,Advanced Industrial Capacity,,,,,,,,,
8,North Korea,7,Energy and Resource Security,,,,,,,,,
8,North Korea,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
8,North Korea,9,Infrastructure and Logistics,,,,,,,,,
8,North Korea,10,Diplomatic and Institutional Power,,,,,,,,,
8,North Korea,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
8,North Korea,12,Civilizational and Social Resilience,,,,,,,,,
9,Israel,1,Nuclear and Strategic Deterrence,,,,,,,,,
9,Israel,2,Conventional Military Power,,,,,,,,,
9,Israel,3,Economic Production,,,,,,,,,
9,Israel,4,Financial and Monetary Power,,,,,,,,,
9,Israel,5,Science and Technology,,,,,,,,,
9,Israel,6,Advanced Industrial Capacity,,,,,,,,,
9,Israel,7,Energy and Resource Security,,,,,,,,,
9,Israel,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
9,Israel,9,Infrastructure and Logistics,,,,,,,,,
9,Israel,10,Diplomatic and Institutional Power,,,,,,,,,
9,Israel,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
9,Israel,12,Civilizational and Social Resilience,,,,,,,,,
10,Switzerland,1,Nuclear and Strategic Deterrence,,,,,,,,,
10,Switzerland,2,Conventional Military Power,,,,,,,,,
10,Switzerland,3,Economic Production,,,,,,,,,
10,Switzerland,4,Financial and Monetary Power,,,,,,,,,
10,Switzerland,5,Science and Technology,,,,,,,,,
10,Switzerland,6,Advanced Industrial Capacity,,,,,,,,,
10,Switzerland,7,Energy and Resource Security,,,,,,,,,
10,Switzerland,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
10,Switzerland,9,Infrastructure and Logistics,,,,,,,,,
10,Switzerland,10,Diplomatic and Institutional Power,,,,,,,,,
10,Switzerland,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
10,Switzerland,12,Civilizational and Social Resilience,,,,,,,,,
11,Belgium,1,Nuclear and Strategic Deterrence,,,,,,,,,
11,Belgium,2,Conventional Military Power,,,,,,,,,
11,Belgium,3,Economic Production,,,,,,,,,
11,Belgium,4,Financial and Monetary Power,,,,,,,,,
11,Belgium,5,Science and Technology,,,,,,,,,
11,Belgium,6,Advanced Industrial Capacity,,,,,,,,,
11,Belgium,7,Energy and Resource Security,,,,,,,,,
11,Belgium,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
11,Belgium,9,Infrastructure and Logistics,,,,,,,,,
11,Belgium,10,Diplomatic and Institutional Power,,,,,,,,,
11,Belgium,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
11,Belgium,12,Civilizational and Social Resilience,,,,,,,,,
12,Taiwan,1,Nuclear and Strategic Deterrence,,,,,,,,,
12,Taiwan,2,Conventional Military Power,,,,,,,,,
12,Taiwan,3,Economic Production,,,,,,,,,
12,Taiwan,4,Financial and Monetary Power,,,,,,,,,
12,Taiwan,5,Science and Technology,,,,,,,,,
12,Taiwan,6,Advanced Industrial Capacity,,,,,,,,,
12,Taiwan,7,Energy and Resource Security,,,,,,,,,
12,Taiwan,8,"Food, Water and Humanitarian Resilience",,,,,,,,,
12,Taiwan,9,Infrastructure and Logistics,,,,,,,,,
12,Taiwan,10,Diplomatic and Institutional Power,,,,,,,,,
12,Taiwan,11,"Information, Cyber and Artificial Intelligence Capacity",,,,,,,,,
12,Taiwan,12,Civilizational and Social Resilience,,,,,,,,,
