dataset_id,primitive_or_variable,description,source_name,source_url,access_method,acquisition_timestamp_utc,coverage_start,coverage_end,frequency,units,raw_filename,raw_sha256,row_count,column_count,missingness_status,transformation_status,license_or_access_notes,provenance_status,reproducibility_status,notes
REPO-001,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,advanced_industrial_capacity_2025.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Historical acquisition metadata unresolved; checksum is resolved deterministically at freeze.
REPO-002,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,capability_dimensions.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Schema file; checksum is resolved deterministically at freeze.
REPO-003,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,capability_recognition.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Recognition layer; checksum is resolved deterministically at freeze.
REPO-004,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,civilizational_social_resilience_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Historical acquisition metadata unresolved.
REPO-005,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,conventional_military_2025.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Historical acquisition metadata unresolved.
REPO-006,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,diplomatic_institutional_power_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Historical acquisition metadata unresolved.
REPO-007,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,economic_production_2025.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Historical acquisition metadata unresolved.
REPO-008,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,energy_resource_security_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Historical acquisition metadata unresolved.
REPO-009,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
REPO-010,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger_civilizational_social_resilience_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
REPO-011,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger_diplomatic_institutional_2026.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
REPO-012,,,,12SCS repository snapshot,https://github.com/TheRealoliGARCH/12SCS,repository_snapshot,,,,,,evidence_ledger_economic.csv,AUTO_SHA256_AT_FREEZE,,,unknown,as_stored,repository-verifiable,repository_verifiable,repository_snapshot,Repository evidence ledger.
