state_id,state,capability_id,capability,reference_year,gdp_current_usd_bn,gdp_ppp_intl_usd_bn,real_gdp_growth_pct,scale_score,productivity_score,diversification_score,productive_capacity_score,macro_resilience_score,R,Q,P,U,D,evidence_confidence,source,notes
1,United States,3,Economic Production,2025,,,,0.99,0.98,0.96,0.99,0.95,4,0.99,0.99,0.99,0.99,0.98,"IMF WEO April 2026; World Bank WDI 2024","Level 4 is based on exceptional scale, productivity, diversification, productive depth and macro-financial resilience; GDP alone is not the score."
2,Russia,3,Economic Production,2025,,,,0.82,0.72,0.66,0.82,0.58,3,0.82,0.96,0.62,0.78,0.76,"IMF WEO April 2026; World Bank WDI 2024","Large resource and industrial base, but lower diversification and greater macro/geopolitical vulnerability than the largest diversified economies."
3,United Kingdom,3,Economic Production,2025,,,,0.78,0.91,0.90,0.76,0.82,3,0.78,0.96,0.78,0.82,0.88,"IMF WEO April 2026; World Bank WDI 2024","High productivity and diversified services/industrial economy with substantial international economic integration."
4,France,3,Economic Production,2025,,,,0.77,0.88,0.86,0.79,0.82,3,0.77,0.96,0.76,0.82,0.88,"IMF WEO April 2026; World Bank WDI 2024","Large diversified advanced economy with substantial industrial, agricultural and services capacity."
5,China,3,Economic Production,2025,,,,0.96,0.84,0.92,0.98,0.82,4,0.96,0.99,0.96,0.96,0.90,"IMF WEO April 2026; World Bank WDI 2024","Systemic scale and exceptionally broad productive capacity; macroeconomic and structural risks are retained in resilience rather than ignored."
6,India,3,Economic Production,2025,,,,0.86,0.65,0.82,0.84,0.70,3,0.86,0.99,0.78,0.84,0.86,"IMF WEO April 2026; World Bank WDI 2024","Large and rapidly growing diversified economy with substantial development and productivity gaps remaining."
7,Pakistan,3,Economic Production,2025,,,,0.38,0.40,0.48,0.42,0.28,2,0.38,0.93,0.48,0.48,0.72,"IMF WEO April 2026; World Bank WDI 2024","Meaningful domestic productive base, but low scale, lower productivity and recurrent macroeconomic vulnerability constrain recognition."
8,North Korea,3,Economic Production,2025,,,,,0.18,0.12,0.22,0.10,1,0.15,0.88,0.20,0.18,0.35,"No IMF WEO country data; external estimates required","No internationally comparable official GDP series is available in the IMF WEO for DPRK. Provisional Level 1 is therefore evidence-constrained and should not be interpreted as a precise GDP ranking."
9,Israel,3,Economic Production,2025,,,,0.42,0.86,0.82,0.56,0.72,2,0.42,0.97,0.74,0.78,0.82,"IMF WEO April 2026; World Bank WDI 2024","Small economy with high productivity, diversification and technology intensity; scale limits systemic production recognition."
10,Switzerland,3,Economic Production,2025,,,,0.38,0.97,0.94,0.60,0.92,2,0.38,0.99,0.72,0.80,0.92,"IMF WEO April 2026; World Bank WDI 2024","Small but exceptionally productive and diversified advanced economy; scale is distinct from capability quality."
11,Belgium,3,Economic Production,2025,,,,0.39,0.90,0.86,0.63,0.78,2,0.39,0.97,0.70,0.78,0.88,"IMF WEO April 2026; World Bank WDI 2024","Small, highly open and diversified advanced economy with strong productive and logistics integration."
12,Taiwan,3,Economic Production,2025,,,,0.43,0.93,0.91,0.82,0.82,3,0.43,0.99,0.88,0.90,0.90,"IMF WEO April 2026; IMF DataMapper","High productivity and advanced manufacturing/export capacity materially raise capability beyond what aggregate GDP scale alone implies."
