state_id,state,capability_id,capability,reference_period,domestic_energy_score,energy_diversification_score,grid_resilience_score,strategic_resource_score,critical_mineral_resilience_score,R,Q,P,U,D,evidence_confidence,source,notes
1,United States,7,Energy and Resource Security,2024-2026,0.92,0.88,0.94,0.88,0.76,4,0.92,0.99,0.94,0.90,0.94,"IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025","Systemic energy and resource capability with large domestic production, diversified supply and high infrastructure capacity; critical-mineral exposure remains non-zero."
2,Russia,7,Energy and Resource Security,2024-2026,0.99,0.65,0.78,0.98,0.72,4,0.99,0.99,0.96,0.88,0.91,"IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025","Exceptional domestic hydrocarbon and resource endowment; external-market and infrastructure concentration risks are retained in diversification/resilience components."
3,United Kingdom,7,Energy and Resource Security,2024-2026,0.62,0.84,0.91,0.58,0.68,3,0.62,0.98,0.86,0.76,0.91,"IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025","High infrastructure and supply-diversification capability with meaningful import exposure and finite domestic resource base."
4,France,7,Energy and Resource Security,2024-2026,0.61,0.82,0.94,0.60,0.70,3,0.61,0.99,0.88,0.78,0.93,"IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025","Strong electricity-system and infrastructure resilience, with diversified energy access but material external resource dependence."
5,China,7,Energy and Resource Security,2024-2026,0.82,0.76,0.91,0.94,0.91,4,0.82,0.99,0.98,0.91,0.91,"IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025","Systemic integrated energy and resource capability; major domestic production, diversified energy system and exceptional critical-mineral processing position, alongside substantial import exposure."
6,India,7,Energy and Resource Security,2024-2026,0.58,0.68,0.74,0.62,0.56,3,0.58,0.98,0.86,0.70,0.88,"IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025","Large and increasingly diversified energy system with substantial domestic coal and renewable capacity but continuing hydrocarbon and mineral import exposure."
7,Pakistan,7,Energy and Resource Security,2024-2026,0.38,0.46,0.52,0.34,0.32,1,0.38,0.95,0.55,0.42,0.76,"IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025","Material structural vulnerabilities in import dependence, system resilience and resource diversification constrain recognition."
8,North Korea,7,Energy and Resource Security,2024-2026,0.28,0.22,0.30,0.48,0.24,1,0.28,0.90,0.45,0.32,0.48,"IEA World Energy Statistics July 2026; internationally limited country data","Evidence is limited. Provisional recognition reflects constrained access to modern energy systems and limited diversification; not a precise estimate of domestic resource endowment."
9,Israel,7,Energy and Resource Security,2024-2026,0.55,0.78,0.88,0.52,0.54,2,0.55,0.98,0.84,0.68,0.87,"IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025","High technological and infrastructure resilience with improving domestic gas position, but limited geographic resource base and external supply-chain exposure."
10,Switzerland,7,Energy and Resource Security,2024-2026,0.36,0.80,0.94,0.42,0.60,2,0.36,0.99,0.78,0.68,0.93,"IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025","High system resilience and diversification despite substantial import dependence and limited domestic fossil-resource endowment."
11,Belgium,7,Energy and Resource Security,2024-2026,0.34,0.78,0.90,0.40,0.58,2,0.34,0.98,0.78,0.66,0.91,"IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025","Highly integrated European energy system with strong infrastructure and diversified access but significant import dependence."
12,Taiwan,7,Energy and Resource Security,2024-2026,0.22,0.55,0.82,0.30,0.42,2,0.22,0.99,0.90,0.62,0.87,"IEA World Energy Statistics July 2026; IEA World Energy Outlook 2025","Highly capable infrastructure and industrial system but structurally import-dependent and geographically concentrated; resilience therefore depends heavily on diversification, storage and continuity of access."
