state_id,capability_id,claim_id,evidence_type,source,reference_date,independence,quality,confidence,summary,verification_status
1,2,M-US-2025-01,SIPRI expenditure;IISS force assessment,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,high,0.99,0.99,"US military expenditure $954bn in 2025; IISS provides current force, equipment and defence-economics assessment.",corroborated
2,2,M-RU-2025-01,SIPRI expenditure;IISS force assessment,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,high,0.96,0.91,"Russian military expenditure $190bn in 2025; IISS assesses force structure and wartime military developments.",corroborated
3,2,M-UK-2025-01,SIPRI expenditure;IISS force assessment,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,high,0.94,0.88,"UK military expenditure $89bn in 2025; IISS assesses current forces, procurement and expeditionary capabilities.",corroborated
4,2,M-FR-2025-01,SIPRI expenditure;IISS force assessment,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,high,0.93,0.88,"French military expenditure $68bn in 2025; IISS assesses current forces and defence-industrial/procurement capabilities.",corroborated
5,2,M-CN-2025-01,SIPRI expenditure;IISS force assessment,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,high,0.96,0.90,"Chinese military expenditure $336bn in 2025; IISS assesses rapid modernization and current force development.",corroborated
6,2,M-IN-2025-01,SIPRI expenditure;IISS force assessment,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,high,0.90,0.84,"Indian military expenditure $92.1bn in 2025; IISS provides current force, procurement and defence-industrial assessment.",corroborated
7,2,M-PK-2025-01,SIPRI expenditure;IISS force assessment,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,high,0.82,0.72,"Pakistani military expenditure $11.9bn in 2025; IISS assesses current force structure and India-Pakistan air and weapon inventories.",corroborated
8,2,M-KP-2025-01,IISS force assessment,"IISS Military Balance 2026",2025-12-31,medium,0.76,0.62,"IISS provides current assessment of North Korean military forces; public evidence on readiness and sustainment is constrained.",partially_verified
9,2,M-IL-2025-01,SIPRI expenditure;IISS force assessment,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,high,0.93,0.82,"Israeli military expenditure $48.3bn in 2025; IISS assesses high-end force development and operational capabilities.",corroborated
10,2,M-CH-2025-01,SIPRI expenditure;IISS force assessment,"SIPRI Military Expenditure Database 2026; IISS Military Balance 2026",2025-12-31,high,0.65,0.82,"Swiss military expenditure $7.6bn in 2025; IISS provides current force and defence-economics assessment.",corroborated
11,2,M-BE-2025-01,SIPRI expenditure;IISS force assessment,"SIPRI Military Expenditure Database 2026; IISS Military Balance 2026",2025-12-31,high,0.62,0.82,"Belgian military expenditure $14.5bn in 2025; IISS assesses current force and defence-industrial/procurement developments.",corroborated
12,2,M-TW-2025-01,SIPRI expenditure;IISS force assessment,"SIPRI Trends in World Military Expenditure 2025; IISS Military Balance 2026",2025-12-31,high,0.86,0.80,"Taiwan military expenditure $18.2bn in 2025, 2.1% of GDP; IISS assesses current forces and regional military dynamics.",corroborated
