state_id,state,capability_id,capability,reference_period,financial_depth_score,capital_market_score,monetary_internationalization_score,payments_system_score,external_financial_resilience_score,R,Q,P,U,D,evidence_confidence,source,notes
1,United States,4,Financial and Monetary Power,2025-2026,0.99,1.00,1.00,0.99,0.97,4,0.99,0.99,1.00,0.99,0.99,"BIS Triennial Central Bank Survey 2025; IMF COFER 2025Q4","Systemic financial and monetary capability. BIS reports USD on 89.2% of FX trades; IMF COFER reports USD at 56.77% of global official reserves in 2025Q4."
2,Russia,4,Financial and Monetary Power,2025-2026,0.70,0.58,0.42,0.63,0.48,2,0.70,0.96,0.50,0.62,0.72,"BIS Triennial Central Bank Survey 2025; IMF COFER framework","Large domestic financial system and monetary capacity, but international financial centrality is constrained; provisional synthesis pending country-level harmonized financial-depth data."
3,United Kingdom,4,Financial and Monetary Power,2025-2026,0.94,0.99,0.88,0.98,0.92,3,0.94,0.98,0.90,0.94,0.95,"BIS Triennial Central Bank Survey 2025; IMF COFER 2025Q4","Global financial-centre capability. UK and US sales desks accounted for the dominant share of OTC interest-rate derivatives trading; sterling remained a major traded currency."
4,France,4,Financial and Monetary Power,2025-2026,0.84,0.82,0.68,0.78,0.84,2,0.84,0.98,0.72,0.80,0.90,"BIS Triennial Central Bank Survey 2025; IMF COFER 2025Q4","Major advanced financial system with euro-area institutional centrality; international monetary power is partly mediated through the euro."
5,China,4,Financial and Monetary Power,2025-2026,0.90,0.84,0.72,0.86,0.78,3,0.90,0.99,0.84,0.90,0.91,"BIS Triennial Central Bank Survey 2025; IMF COFER 2025Q4","Global/emerging systemic capability. CNY represented 8.5% of global FX turnover while RMB reserves were 1.95% of global reserves in 2025Q4."
6,India,4,Financial and Monetary Power,2025-2026,0.73,0.70,0.46,0.70,0.78,2,0.73,0.98,0.70,0.72,0.87,"BIS Triennial Central Bank Survey 2025; IMF macro-financial datasets","Major regional financial system with growing international monetary and payments capability; not treated as a reserve-currency power on current evidence."
7,Pakistan,4,Financial and Monetary Power,2025-2026,0.42,0.31,0.16,0.38,0.32,1,0.42,0.94,0.42,0.35,0.70,"IMF macro-financial datasets; BIS survey framework","Regional financial capability constrained by financial depth, external financing dependence and limited international monetary centrality."
8,North Korea,4,Financial and Monetary Power,2025-2026,0.10,0.05,0.02,0.08,0.06,0,0.10,0.88,0.05,0.06,0.38,"Internationally comparable evidence limited; IMF/BIS country coverage constraints","Level 0 is evidence-constrained and reflects absence of demonstrable internationally integrated financial and monetary capability, not a claim that no domestic financial activity exists."
9,Israel,4,Financial and Monetary Power,2025-2026,0.67,0.61,0.36,0.60,0.71,2,0.67,0.98,0.72,0.70,0.84,"BIS/IMF macro-financial datasets","Advanced specialized financial capability with strong capital-market and technology links but limited reserve-currency centrality."
10,Switzerland,4,Financial and Monetary Power,2025-2026,0.90,0.93,0.70,0.92,0.93,3,0.90,0.99,0.94,0.92,0.95,"BIS Triennial Central Bank Survey 2025; IMF COFER 2025Q4","Global specialized capability. CHF represented 6.4% of global FX turnover, while its reserve share is much smaller; this demonstrates market centrality distinct from reserve share."
11,Belgium,4,Financial and Monetary Power,2025-2026,0.70,0.68,0.40,0.72,0.79,2,0.70,0.97,0.82,0.70,0.86,"BIS/IMF macro-financial datasets; euro-area institutional sources","Advanced institutional and financial capability supported by euro-area integration; international monetary power is mediated through the euro."
12,Taiwan,4,Financial and Monetary Power,2025-2026,0.76,0.74,0.42,0.78,0.69,2,0.76,0.98,0.91,0.78,0.88,"BIS/IMF framework; Taiwan financial-statistics sources","Advanced specialized financial and payments capability, with international monetary centrality constrained by its institutional position."
