state_id,state,capability_id,capability,reference_period,alliance_score,conventional_denial_score,economic_resilience_score,technology_score,geographic_resilience_score,civil_defence_score,institutional_credibility_score,peaceful_nuclear_option_value_score,R,Q,P,U,D,evidence_confidence,source,notes
1,United States,1,Nuclear and Strategic Deterrence,2026,1.00,1.00,1.00,1.00,0.98,0.96,0.99,1.00,4,0.99,0.99,1.00,0.98,0.98,SIPRI Yearbook 2026,"Nuclear-armed State; direct strategic-deterrence evidence dominates."
2,Russia,1,Nuclear and Strategic Deterrence,2026,0.95,0.99,0.90,0.94,0.99,0.90,0.94,1.00,4,0.99,0.99,1.00,0.95,0.90,SIPRI Yearbook 2026,"Nuclear-armed State; direct strategic-deterrence evidence dominates."
3,United Kingdom,1,Nuclear and Strategic Deterrence,2026,0.96,0.92,0.91,0.95,0.72,0.86,0.96,1.00,3,0.96,0.98,0.90,0.95,0.94,SIPRI Yearbook 2026,"Nuclear-armed State; direct strategic-deterrence evidence dominates."
4,France,1,Nuclear and Strategic Deterrence,2026,0.95,0.93,0.92,0.95,0.78,0.88,0.96,1.00,3,0.96,0.98,0.90,0.95,0.94,SIPRI Yearbook 2026,"Nuclear-armed State; direct strategic-deterrence evidence dominates."
5,China,1,Nuclear and Strategic Deterrence,2026,0.92,0.97,0.94,0.96,0.98,0.84,0.91,1.00,4,0.96,0.97,0.95,0.76,0.74,SIPRI Yearbook 2026,"Nuclear-armed State; strategic significance and modernization are included."
6,India,1,Nuclear and Strategic Deterrence,2026,0.78,0.90,0.82,0.86,0.98,0.76,0.84,1.00,3,0.92,0.97,0.82,0.75,0.72,SIPRI Yearbook 2026,"Nuclear-armed State; direct strategic capability is combined with demonstrated resilience."
7,Pakistan,1,Nuclear and Strategic Deterrence,2026,0.82,0.88,0.62,0.79,0.90,0.72,0.75,1.00,3,0.90,0.97,0.80,0.65,0.62,SIPRI Yearbook 2026,"Nuclear-armed State; exact force structure and readiness remain comparatively opaque."
8,North Korea,1,Nuclear and Strategic Deterrence,2026,0.30,0.78,0.35,0.62,0.82,0.55,0.45,1.00,2,0.78,0.90,0.72,0.48,0.45,SIPRI Yearbook 2026,"Nuclear-armed State; substantial uncertainty about assembled warheads and force status."
9,Israel,1,Nuclear and Strategic Deterrence,2026,0.76,0.93,0.84,0.92,0.92,0.84,0.88,0.00,3,0.78,0.97,0.82,0.35,0.35,SIPRI Yearbook 2026,"Nuclear-armed State assessed under nuclear opacity; no speculative option-value increment is assigned."
10,Switzerland,1,Nuclear and Strategic Deterrence,2026,0.35,0.48,0.82,0.62,0.92,0.97,0.94,0.00,2,0.70,0.98,0.72,0.76,0.86,"Swiss Federal Council; Swiss Armed Forces; NATO Partnership for Peace","Non-nuclear strategic deterrence arises from armed neutrality, territorial defence, civil protection, institutional credibility and technological/economic resilience. No speculative nuclear latency score is assigned."
11,Belgium,1,Nuclear and Strategic Deterrence,2026,0.96,0.62,0.88,0.72,0.54,0.68,0.94,0.00,2,0.72,0.98,0.65,0.74,0.84,"NATO; Belgian Defence","Non-nuclear strategic deterrence is primarily alliance-enabled through NATO collective defence, supplemented by conventional capability, institutional credibility and resilient infrastructure."
12,Taiwan,1,Nuclear and Strategic Deterrence,2026,0.20,0.92,0.84,0.95,0.98,0.88,0.70,0.00,3,0.86,0.99,0.90,0.88,0.82,"Taiwan Ministry of National Defense, National Defense Report 2025","Non-nuclear strategic deterrence is based on multi-domain denial, geography, resilient defence, whole-of-society resilience and strategic technology. No speculative nuclear latency score is assigned."
