component,formalization,present,description
design,regression_discontinuity,True,Regression-discontinuity identification route selected.
running_variable,R,False,Running variable must be supplied with observed units.
cutoff,c,False,Known treatment-assignment threshold must be specified before analysis.
treatment_rule,D=1[R>=c],False,Sharp assignment rule must be verified from the institutional design.
outcome,Y,False,Observed outcome variable must be supplied.
local_likelihood,"p(Y|R,theta)",False,Likelihood for observations near the cutoff must be specified.
continuity,potential outcomes continuous at c,False,RD continuity assumption must be explicitly adopted and defended.
no_precise_manipulation,density/support diagnostic,False,Running-variable manipulation must be assessed around the cutoff.
local_support,both sides of c,False,Sufficient observations must exist on both sides of the cutoff.
bandwidth_or_local_model,h or local specification,False,Local window or Bayesian local-function specification must be pre-specified.
