state,N,M,E,F,T,I,R,H,L,D,A,S
United States,0.980000,0.990000,0.980000,0.990000,0.990000,0.970000,0.940000,0.940000,0.930000,0.970000,0.970000,0.860000
Russia,0.900000,0.910000,0.760000,0.720000,0.780000,0.820000,0.910000,0.860000,0.820000,0.880000,0.830000,0.720000
United Kingdom,0.940000,0.880000,0.880000,0.950000,0.940000,0.880000,0.910000,0.890000,0.900000,0.940000,0.920000,0.860000
France,0.940000,0.880000,0.880000,0.900000,0.890000,0.890000,0.930000,0.900000,0.900000,0.940000,0.900000,0.860000
China,0.740000,0.900000,0.900000,0.910000,0.980000,0.960000,0.910000,0.880000,0.910000,0.970000,0.940000,0.820000
India,0.720000,0.840000,0.860000,0.870000,0.840000,0.840000,0.880000,0.820000,0.830000,0.910000,0.860000,0.780000
Pakistan,0.620000,0.720000,0.720000,0.700000,0.680000,0.730000,0.760000,0.690000,0.670000,0.820000,0.700000,0.680000
North Korea,0.450000,0.620000,0.350000,0.380000,0.550000,0.550000,0.480000,0.480000,0.450000,0.680000,0.620000,0.420000
Israel,0.350000,0.820000,0.820000,0.840000,0.920000,0.840000,0.870000,0.840000,0.800000,0.840000,0.910000,0.820000
Switzerland,0.860000,0.820000,0.920000,0.950000,0.960000,0.900000,0.930000,0.910000,0.930000,0.890000,0.900000,0.920000
Belgium,0.840000,0.820000,0.880000,0.860000,0.850000,0.860000,0.910000,0.880000,0.910000,0.870000,0.840000,0.900000
Taiwan,0.820000,0.800000,0.900000,0.880000,0.920000,0.950000,0.870000,0.800000,0.840000,0.800000,0.900000,0.870000
