state,N,M,E,F,T,I,R,H,L,D,A,S
United States,-0.14006310613546014,-0.17684900719720187,-0.23784081201125695,-0.248882274337216,-0.13885700933750222,-0.13228029707784805,-0.21982180681807728,-0.12725275133051306,-0.12183919007615107,-0.15779597799794565,-0.13447917078965244,-0.04399123795485327
Russia,-0.13391404708056742,-0.1566645544824724,-0.024112102936401314,0.10898399372491518,0.014958047533964347,-0.0008372595223530288,-0.23357222245580256,-0.052675552653083435,-0.005055388118817783,-0.056277717296368435,-0.003039881484573237,0.0913021971128748
United Kingdom,-0.051959228225367804,-0.07321469929986169,-0.06067903290096899,-0.15306136532476722,-0.047061279650655874,-0.017170054224165177,-0.05549061258087218,-0.028925811963830705,-0.03416213304939297,-0.14166931789705872,-0.027032028302167,-0.027857743512462507
France,-0.051959228225367804,-0.07131648181972639,-0.05436766374757196,-0.0047532642862280206,-0.023624592287821766,-0.028991969123756234,-0.06224694624189875,-0.04837247957183011,-0.03612340057244623,-0.14572278688407014,-0.011356372432785644,-0.02985790412461331
China,-0.0717596689269635,-0.1505352384091584,-0.21969370950318134,-0.12724711705579272,-0.13283273360279269,-0.12418175979317003,-0.20805935255862917,-0.07204584164564398,-0.11574060373218631,-0.15377571817843771,-0.12643445247063767,-0.03654454369835569
India,0.014573727374488366,-0.039381693906997306,-0.0859155245632871,0.03521757054828323,0.03246924785275518,0.017031373821397078,-0.032457268701229225,-0.0008123321747174339,0.017073664411911382,-0.04040580003454319,0.016714711823958672,0.08248155978749083
Pakistan,0.04575878186359961,0.08444989634169442,0.22698951041454352,0.31623445504988457,0.23539178009714967,0.23163566727363027,0.2682625159933085,0.1660373404148977,0.23700628467767815,0.17292523599377962,0.22846244185303155,0.16734410065105088
North Korea,0.19610143382643386,0.10915350918248967,0.49415717828870637,0.7451056693244823,0.34456949756363286,0.36373502048164086,0.3389525765603299,0.33325430404687845,0.4110174533918356,0.418489747295381,0.1976953485920352,0.36108844804928286
Israel,0.15630489254186242,-0.06709161347403902,0.10242752208381423,0.047290696362905504,-0.05664246221505509,-0.020780349406585685,0.041568825967024936,-0.03869847918401448,0.017696861909086592,0.0876989377357027,-0.044513123355587214,-0.048166700528362805
Switzerland,0.13627943653924657,0.303388751598338,0.11299730384474138,-0.15102415137952574,-0.06048132191499467,-0.04630519746034889,0.1054985694939291,-0.035944543048653466,-0.05532287605829944,-0.016422446061582163,0.010722670115838495,-0.1429004984393777
Belgium,0.1505587324627966,0.3082023427074242,0.11911303316531952,0.02408065107870816,0.1233473482120162,0.10296257117764895,0.11750526688618945,0.05470818090702234,-0.041866118397478336,0.012141312647740765,0.14728622319480822,-0.05466343016354469
Taiwan,-0.020628715017323773,0.0480329539980765,-0.00543671111131816,-0.021247809964088593,-0.054657807521950375,-0.13025985449354283,0.15825362711700552,0.05101180686013884,0.0041720731078496165,0.20335124831889406,-0.11425209119893176,-0.06658350297993054
