state,N,M,E,F,T,I,R,H,L,D,A,S
United States,0.9919717243282092,0.9919919678228657,0.9919919678228657,0.9939879436616983,0.9919919678228657,0.9859676920881562,0.9492020707644828,0.9534376350903008,0.9839677411474429,0.9919919678228657,0.9919919678228657,0.850190888010802
Russia,0.9858226652733165,0.9718075151081362,0.7782632587480101,0.6361216755995671,0.8381769109513991,0.8545246545326611,0.9629524864022081,0.8788604364128711,0.8671839391901096,0.8904737071212885,0.8605526785177865,0.7148974529430739
United Kingdom,0.9038678464181169,0.8883576599255255,0.8148301887125777,0.8981670346492495,0.9001962381360193,0.8708574492344733,0.7848708765272777,0.8551106957236184,0.8962906841206848,0.9758653077219788,0.8845448253353803,0.8340573935684112
France,0.9038678464181169,0.8864594424453902,0.8085188195591807,0.7498589336107103,0.8767595507731852,0.8826793641340643,0.7916272101883043,0.8745573633316178,0.8982519516437381,0.9799187767089902,0.8688691694659989,0.836057554180562
China,0.9236682871197126,0.9656781990348222,0.9738448653147901,0.872352786380275,0.9859676920881562,0.9778691548034781,0.9374396165050347,0.8982307254054317,0.9778691548034781,0.9879717080033578,0.9839472495038509,0.8427441937543044
India,0.8373348908182607,0.8545246545326611,0.8400666803748958,0.7098880987761991,0.8206657106326083,0.836656021188911,0.7618375326476348,0.8269972159345051,0.8450548866593804,0.8746017898594632,0.8407980852092546,0.7237180902684579
Pakistan,0.8061498363291495,0.7306930642839694,0.5271616453970652,0.42887121427459773,0.6177431783882138,0.6220517277366778,0.461117747953097,0.66014754334489,0.6251222663936137,0.6612707538311404,0.6290503551801817,0.6388555494048979
North Korea,0.6558071843663152,0.7059894514431742,0.2599939775229024,0.0,0.5085654609217306,0.48995237452866724,0.39042768738607564,0.49293057971290927,0.45111109767945623,0.415706242529539,0.6598174484411781,0.4451112020066659
Israel,0.6956037256508867,0.8822345740997029,0.6517236337277945,0.6978149729615768,0.9097774207004186,0.8744677444168938,0.6878114379793806,0.8648833629438022,0.8444316891622052,0.7464970520892174,0.9020259203888005,0.8543663505843115
Switzerland,0.7156291816535025,0.5117542090273258,0.6411538519668674,0.896129820704008,0.9136162804003581,0.899992592470657,0.6238816944524764,0.8621294268084412,0.9174514271295913,0.8506184358865022,0.8467901269173748,0.9491001484953264
Belgium,0.7013498857299525,0.5069406179182396,0.6350381226462892,0.7210250182457741,0.7297876102733473,0.7507248238326591,0.6118749970602161,0.7714767028527654,0.9039946694687702,0.8220546771771793,0.710226573838405,0.8608630802194934
Taiwan,0.8725373332100729,0.7671100066275873,0.7595878669229269,0.7663534792885709,0.9077927660073138,0.9839472495038509,0.5711266368294,0.7751730768996489,0.8579564779634422,0.630844741506026,0.971764888232145,0.8727831530358793
