state,N,M,E,F,T,I,R,H,L,D,A,S
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.013296694132107281,0.0011337118395183725,0.0,0.0,0.0,0.0,0.0,0.0,0.0060499265587195955
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.0009424771045859863,0.0,0.0,0.004296752648268729,0.00246093419795204,0.0013263742880702044,0.0,0.0,0.0012453112396021695,0.0,0.001108218116854968,0.005465447655613891
Pakistan,0.0029592020717830346,0.008081823997483827,0.022366948755460584,0.038582480592933656,0.017840994783275426,0.01803938992201192,0.027305580194839946,0.010216371603317159,0.01728665757068272,0.016704038642051038,0.015147507163093299,0.011088665453715282
North Korea,0.012681801080033323,0.010445950653998356,0.048692947368982595,0.09090731439071625,0.026115876289186733,0.02832706180351824,0.03450089449599651,0.02050532609134872,0.02997860576575624,0.04042480480047271,0.013107588646165664,0.023926681514569444
Israel,0.01010817471536858,0.0,0.01009293836271781,0.005769745660257984,0.0,0.0,0.004231157330516714,0.0,0.0012907657377696986,0.008471443953135338,0.0,0.0
Switzerland,0.008813136506790725,0.029034191863460512,0.011134456830118813,0.0,0.0,0.0,0.010738360665450673,0.0,0.0,0.0,0.0007109340207946955,0.0
Belgium,0.009736572847524825,0.029494850760921832,0.011737084696339696,0.0029379823674270554,0.009348837054009287,0.008018549089214304,0.01196048384321032,0.003366225359253538,0.0,0.0011728129469800468,0.00976536494477073,0.0
Taiwan,0.0,0.004596736018727747,0.0,0.0,0.0,0.0,0.016108128600700513,0.003138785370432621,0.00030430078794464526,0.019643096568914383,0.0,0.0
