lambda,state_a,capability_a,state_b,capability_b,rank_crossover
0.00039532165937001293,Pakistan,A,Pakistan,S,1
0.0004312793663666919,United States,S,Pakistan,A,1
0.0004743766146764915,India,A,Pakistan,S,1
0.0004744328796423255,Pakistan,A,North Korea,S,1
0.0005270781820415554,Pakistan,S,Taiwan,A,1
0.0005271129107558969,United States,S,India,A,1
0.0005271823819158545,Russia,S,Pakistan,A,1
0.0005929531881502359,China,A,Pakistan,S,1
0.0005929971405933708,United States,S,Taiwan,A,1
0.0005930410995529068,India,A,North Korea,S,1
0.0005931290370269806,Pakistan,A,Israel,S,1
0.0006776464360068885,Pakistan,S,Belgium,A,1
0.0006777038414559923,United States,S,China,A,1
0.0006777612566318935,North Korea,S,Taiwan,A,1
0.0006778186815370645,Russia,S,India,A,1
0.0006779335605451091,United Kingdom,S,Pakistan,A,1
0.000790565186854649,France,A,Pakistan,S,1
0.0007906433187400259,United States,S,Belgium,A,1
0.0007907214660705425,China,A,North Korea,S,1
0.0007907996288507791,Russia,S,Taiwan,A,1
0.0007908778070853178,India,A,Israel,S,1
0.0007910342099356386,Pakistan,A,Switzerland,S,1
0.0009486407261089341,Pakistan,S,Switzerland,A,1
0.000948753229352983,United States,S,France,A,1
0.000948865759284651,North Korea,S,Belgium,A,1
0.0009489783159134352,Russia,S,China,A,1
0.0009490908992488375,Israel,S,Taiwan,A,1
0.000949203509300364,United Kingdom,S,India,A,1
0.0009494288095898373,France,S,Pakistan,A,1
0.00118573060561475,United Kingdom,A,Pakistan,S,1
0.0011859063763004717,United States,S,Switzerland,A,1
0.0011860821991058136,France,A,North Korea,S,1
0.0011862580740539612,Russia,S,Belgium,A,1
0.0011864340011681137,China,A,Israel,S,1
0.0011866099804714832,United Kingdom,S,Taiwan,A,1
0.0011867860119872966,India,A,Switzerland,S,1
0.0011871382317492304,Pakistan,A,Belgium,S,1
0.0015808179388020049,Pakistan,S,Israel,A,1
0.001581130373709298,United States,S,United Kingdom,A,1
0.001581442932141085,North Korea,S,Switzerland,A,1
0.0015817556141706356,Russia,S,France,A,1
0.0015820684198712771,Israel,S,Belgium,A,1
0.0015823813493163956,United Kingdom,S,China,A,1
0.0015826944025794341,Switzerland,S,Taiwan,A,1
0.001583007579733895,France,S,India,A,1
0.0015836343060113805,China,S,Pakistan,A,1
0.002370758441018991,Russia,A,Pakistan,S,1
0.0023714612112295,United States,S,Israel,A,1
0.0023721643982116273,United Kingdom,A,North Korea,S,1
0.0023728680023362273,Russia,S,Switzerland,A,1
0.002373572023974593,France,A,Israel,S,1
0.002374276463498461,United Kingdom,S,Belgium,A,1
0.0023749813212800065,China,A,Switzerland,S,1
0.002375686597691848,France,S,Taiwan,A,1
0.002376392293107047,India,A,Belgium,S,1
0.0023778049424419798,Pakistan,A,Taiwan,S,1
0.004738708298863218,Pakistan,S,North Korea,A,1
0.004741516882037982,United States,S,Russia,A,1
0.0047443287964232545,North Korea,S,Israel,A,1
0.004747144047949186,Russia,S,United Kingdom,A,1
0.004749962642560013,Israel,S,Switzerland,A,1
0.004752784586214094,United Kingdom,S,France,A,1
0.0047556098848839596,Switzerland,S,Belgium,A,1
0.004758438544556348,France,S,China,A,1
0.00476127057123225,Belgium,S,Taiwan,A,1
0.00476410597092695,China,S,India,A,1
0.0047697869135056165,India,S,Pakistan,A,1
0.0062407090457367725,United States,D,Taiwan,M,1
0.006807080754202893,Pakistan,D,Taiwan,M,1
0.006812877730312737,United States,D,India,M,1
0.0074935273472741875,India,M,Pakistan,D,1
0.008316620260374958,India,D,Taiwan,M,1
0.008342638719700425,United States,D,Pakistan,M,1
0.009353766801468955,Taiwan,M,Taiwan,D,1
0.00936471622293286,India,M,India,D,1
0.009386692149997048,Pakistan,M,Pakistan,D,1
0.00939771883670109,United States,M,United States,D,1
0.01068644925331269,China,D,Taiwan,M,1
0.010700743372190144,India,M,Taiwan,D,1
0.010743856089756728,United States,M,Pakistan,D,1
0.010758304298901379,United States,D,North Korea,M,1
0.012461975201132182,Belgium,D,Taiwan,M,1
0.012481418091473545,China,D,India,M,1
0.012520486447990045,India,D,Pakistan,M,1
0.012559800149881556,Pakistan,D,North Korea,M,1
0.012579549728702557,United States,D,Russia,M,1
0.013347635112439523,North Korea,D,Belgium,E,1
0.014556640651573114,France,E,North Korea,D,1
0.014583175907979506,Russia,D,Belgium,E,1
0.014945057994253426,France,D,Taiwan,M,1
0.01497302959370688,India,M,Belgium,D,1
0.015029288087533626,Pakistan,M,Taiwan,D,1
0.015057576168801236,United States,M,India,D,1
0.015114473000916884,Russia,M,Pakistan,D,1
0.015143082965746438,United States,D,Israel,M,1
0.01600647970240231,North Korea,D,Switzerland,E,1
0.01603856983271267,Russia,D,France,E,1
0.016070788891450458,Israel,D,Belgium,E,1
0.016757181841117307,India,N,Pakistan,A,1
0.017777073325909255,United Kingdom,E,North Korea,D,1
0.017816664344468595,Russia,D,Switzerland,E,1
0.01783565574276775,India,N,India,S,1
0.01785643210161162,France,E,Israel,D,1
0.017896377783456006,United Kingdom,D,Belgium,E,1
0.01826033154937728,United Kingdom,I,France,T,1
0.018663889186173926,Switzerland,D,Taiwan,M,1
0.01870753360293791,France,D,India,M,1
0.01879543767340218,China,D,Pakistan,M,1
0.01883970022482234,United States,M,Taiwan,D,1
