regime,lambda_start,lambda_end,active_cell_count,active_cells,marginal_cell,binding_feasibility_cells,budget_residual,progress_start,progress_mid,progress_end
0,0.0,0.256368595138984,4,India:F;Pakistan:F;North Korea:F;Belgium:F,North Korea:F,India:F;Pakistan:F;Belgium:F,0.0,0.1220059357126264,0.11455277551491906,0.10792709766150345
1,0.256368595138984,0.27960587073822957,5,India:F;Pakistan:F;North Korea:F;Switzerland:R;Belgium:F,North Korea:F,India:F;Pakistan:F;Switzerland:R;Belgium:F,0.0,0.10792709766150345,0.10742995786265078,0.10693608363898761
2,0.27960587073822957,0.291276828128537,6,India:F;Pakistan:F;North Korea:F;North Korea:D;Switzerland:R;Belgium:F,North Korea:F,India:F;Pakistan:F;North Korea:D;Switzerland:R;Belgium:F,0.0,0.10693608363898761,0.10685553360637767,0.1067738601280973
3,0.291276828128537,0.41804461476902366,7,India:F;Pakistan:F;North Korea:F;North Korea:D;Switzerland:R;Belgium:F;Taiwan:M,North Korea:F,India:F;Pakistan:F;North Korea:D;Switzerland:R;Belgium:F;Taiwan:M,0.0,0.1067738601280973,0.10600469828008888,0.10509168719670489
4,0.41804461476902366,0.42086747310419564,8,India:F;Pakistan:F;North Korea:F;North Korea:D;Switzerland:R;Belgium:F;Belgium:R;Taiwan:M,North Korea:F,India:F;Pakistan:F;North Korea:D;Switzerland:R;Belgium:F;Belgium:R;Taiwan:M,0.0,0.10509168719670489,0.1050746055215468,0.10505744197508413
5,0.42086747310419564,0.5903366637273555,9,India:F;Pakistan:F;North Korea:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:R;Taiwan:M,North Korea:F,India:F;Pakistan:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:R;Taiwan:M,0.0,0.10505744197508413,0.10416386027005034,0.10296838755178073
6,0.5903366637273555,0.7379793141838616,10,India:F;Pakistan:M;Pakistan:F;North Korea:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:R;Taiwan:M,North Korea:F,India:F;Pakistan:M;Pakistan:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:R;Taiwan:M,0.0,0.10296838755178073,0.1018892258750291,0.1006112979839603
7,0.7379793141838616,0.7549957734190053,11,India:F;Pakistan:M;Pakistan:F;North Korea:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,North Korea:F,India:F;Pakistan:M;Pakistan:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,0.0,0.1006112979839603,0.10049121186827562,0.10036834433073676
8,0.7549957734190053,0.7833665154996663,11,India:F;Pakistan:M;Pakistan:E;Pakistan:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,Pakistan:E,India:F;Pakistan:M;Pakistan:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,0.0,0.10036834433073676,0.10018299074145648,0.09999397346296013
9,0.7833665154996663,0.8300569296289845,12,India:F;Pakistan:M;Pakistan:E;Pakistan:F;Pakistan:S;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,Pakistan:E,India:F;Pakistan:M;Pakistan:F;Pakistan:S;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,1.1102230246251565e-16,0.09999397346296013,0.09978410294182036,0.09956205417309832
10,0.8300569296289845,0.8379218431858063,13,India:N;India:F;Pakistan:M;Pakistan:E;Pakistan:F;Pakistan:S;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,Pakistan:E,India:N;India:F;Pakistan:M;Pakistan:F;Pakistan:S;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,0.0,0.09956205417309832,0.09952493150371867,0.09948746230942501
11,0.8379218431858063,0.9617118423181908,14,India:N;India:F;Pakistan:M;Pakistan:E;Pakistan:F;Pakistan:S;North Korea:D;Israel:L;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,Pakistan:E,India:N;India:F;Pakistan:M;Pakistan:F;Pakistan:S;North Korea:D;Israel:L;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,0.0,0.09948746230942501,0.09886848053973636,0.0981650908249619
12,0.9617118423181908,1.0,15,India:N;India:F;Pakistan:M;Pakistan:E;Pakistan:F;Pakistan:S;North Korea:D;Israel:L;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:I;Belgium:R;Taiwan:M,Belgium:I,India:N;India:F;Pakistan:M;Pakistan:E;Pakistan:F;Pakistan:S;North Korea:D;Israel:L;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,0.0,0.0981650908249619,0.09791048442104691,0.09765794530065129
