regime,lambda_start,lambda_end,binding_cells,marginal_cell,A,B,C,D,E,F,D_slope,E_slope,F_slope
0,0.0,0.256368595138984,India:F;Pakistan:F;Belgium:F,North Korea:F,0.04581721560862944,-0.023835813663287235,0.624467323323124,0.07839606242018624,0.06370304656589412,0.625,0.11696995419256508,-0.06370304656589412,-0.625
1,0.256368595138984,0.27960587073822957,India:F;Pakistan:F;Switzerland:R;Belgium:F,North Korea:F,0.056555576274080116,-0.03081574809583017,0.5189687538291949,0.1601574537779813,0.055131287794512374,0.625,0.10378263300582394,-0.055131287794512374,-0.625
2,0.27960587073822957,0.291276828128537,India:F;Pakistan:F;North Korea:D;Switzerland:R;Belgium:F,North Korea:F,0.09698038107455283,-0.04738991806402399,0.10047900653381392,0.4363606869929328,0.012236088696735816,0.625,-0.0008398038180213174,-0.012236088696735816,-0.625
3,0.291276828128537,0.41804461476902366,India:F;Pakistan:F;North Korea:D;Switzerland:R;Belgium:F;Taiwan:M,North Korea:F,0.10157711709328057,-0.04955038399282603,0.05244605253573742,0.47094441387154784,0.006592216601961827,0.625,-0.012848042317540442,-0.006592216601961827,-0.625
4,0.41804461476902366,0.42086747310419564,India:F;Pakistan:F;North Korea:D;Switzerland:R;Belgium:F;Belgium:R;Taiwan:M,North Korea:F,0.11353760093649089,-0.056607069460320125,-0.06505921435045203,0.525584362973626,0.015258230034818299,0.625,0.0018401160432332392,-0.015258230034818299,-0.625
5,0.42086747310419564,0.5903366637273555,India:F;Pakistan:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:R;Taiwan:M,North Korea:F,0.12200904488962623,-0.059572074843917494,-0.15275815208615473,0.5562789911811219,0.015258230034818299,0.625,0.0018401160432332392,-0.015258230034818299,-0.625
6,0.5903366637273555,0.7379793141838616,India:F;Pakistan:M;Pakistan:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:R;Taiwan:M,North Korea:F,0.13009086888711008,-0.060461075483640714,-0.23720804842784915,0.5550122427359965,0.016419416109516596,0.625,0.012396353085945028,-0.016419416109516596,-0.625
7,0.7379793141838616,0.7549957734190053,India:F;Pakistan:M;Pakistan:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,North Korea:F,0.13943970594111935,-0.06205037778282229,-0.36055539663986536,0.5913997104585413,0.013798284960011252,0.625,-0.003022065440556998,-0.013798284960011252,-0.625
8,0.7549957734190053,0.7833665154996663,India:F;Pakistan:M;Pakistan:F;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,Pakistan:E,0.13943970594111935,-0.06205037778282229,-0.36055539663986536,0.5913997104585413,0.013798284960011252,0.25,-0.003022065440556998,-0.013798284960011252,-0.25
9,0.7833665154996663,0.8300569296289845,India:F;Pakistan:M;Pakistan:F;Pakistan:S;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,Pakistan:E,0.15052837139483466,-0.0646007708371768,-0.5278994972909162,0.6717248787710458,0.00417599917257583,0.25,-0.04485809060331972,-0.00417599917257583,-0.25
10,0.8300569296289845,0.8379218431858063,India:N;India:F;Pakistan:M;Pakistan:F;Pakistan:S;North Korea:D;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,Pakistan:E,0.15147084849942064,-0.06487408919750673,-0.5424732246654046,0.6795946915532696,0.0031194039379254263,0.25,-0.04850152244694181,-0.0031194039379254263,-0.25
11,0.8379218431858063,0.9617118423181908,India:N;India:F;Pakistan:M;Pakistan:F;Pakistan:S;North Korea:D;Israel:L;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,Pakistan:E,0.15276161423719034,-0.0654807490942585,-0.5601700865744912,0.690124324389176,0.002079713300766589,0.25,-0.05071363018557763,-0.002079713300766589,-0.25
12,0.9617118423181908,1.0,India:N;India:F;Pakistan:M;Pakistan:E;Pakistan:F;Pakistan:S;North Korea:D;Israel:L;Israel:D;Switzerland:R;Belgium:F;Belgium:T;Belgium:R;Taiwan:M,Belgium:I,0.17512856299265092,-0.08001926578530787,-0.7871595969890347,0.7809201285549934,0.03896550874312991,0.0,0.0060337474180582745,-0.03896550874312991,-0.0
