analysis,audit_target,check,result,inference_level
phase3_closure_consistency_audit,exact_curvature,artifact_exists,True,phase3_closure_audit
phase3_closure_consistency_audit,exact_curvature,artifact_unique_bytes,True,phase3_closure_audit
phase3_closure_consistency_audit,exact_curvature,artifact_hash,e143f838788b376cf0a8d146a9afc23f0bb3b3582f80d759ffbcc78d3332539b,phase3_closure_audit
phase3_closure_consistency_audit,critical_point_root_geometry,artifact_exists,True,phase3_closure_audit
phase3_closure_consistency_audit,critical_point_root_geometry,artifact_unique_bytes,True,phase3_closure_audit
phase3_closure_consistency_audit,critical_point_root_geometry,artifact_hash,de4f942ef2e6f6f065b95d9646deffa91f1fce86de9eef292088aa983a35898c,phase3_closure_audit
phase3_closure_consistency_audit,primitive_curvature_pullback,artifact_exists,True,phase3_closure_audit
phase3_closure_consistency_audit,primitive_curvature_pullback,artifact_unique_bytes,True,phase3_closure_audit
phase3_closure_consistency_audit,primitive_curvature_pullback,artifact_hash,de58981bd01ea4428102519c7f8e17c180e5dbd8ad2d39790537d411877111e4,phase3_closure_audit
phase3_closure_consistency_audit,primitive_curvature_sharpness,artifact_exists,True,phase3_closure_audit
phase3_closure_consistency_audit,primitive_curvature_sharpness,artifact_unique_bytes,True,phase3_closure_audit
phase3_closure_consistency_audit,primitive_curvature_sharpness,artifact_hash,f9ae57ffe6b67044b0c468ad9cde4c7e2117462b5decae8a903c958898a01cbf,phase3_closure_audit
phase3_closure_consistency_audit,unified_shape_theorem,artifact_exists,True,phase3_closure_audit
phase3_closure_consistency_audit,unified_shape_theorem,artifact_unique_bytes,True,phase3_closure_audit
phase3_closure_consistency_audit,unified_shape_theorem,artifact_hash,b1221d96e7f67270f965d53234e72745023d5fe5a2a3352acd60d21226a158b0,phase3_closure_audit
phase3_closure_consistency_audit,cross_artifact,curvature_identity,Pi_second=2T/(1+F lambda)^3,phase3_closure_audit
phase3_closure_consistency_audit,cross_artifact,pullback_identity,T=E-FD+F^2C,phase3_closure_audit
phase3_closure_consistency_audit,cross_artifact,discriminant_identity,Delta_P=4ST,phase3_closure_audit
phase3_closure_consistency_audit,cross_artifact,zero_curvature_boundary,T=0 => P=p0(1+F lambda)^2,phase3_closure_audit
phase3_closure_consistency_audit,cross_artifact,scope_boundary,curvature/discriminant alone do not imply decrease,phase3_closure_audit
