analysis,regime,lambda_start,lambda_end,C,D,E,F,T,curvature_class,certificate,inference_level
phase3_primitive_curvature_pullback,0,0.0,0.256368595138984,0.624467323323124,0.07839606242018624,0.06370304656589412,0.625,0.25863805572637305,strictly_convex,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,1,0.256368595138984,0.27960587073822957,0.5189687538291949,0.1601574537779813,0.055131287794512374,0.625,0.15775504864780335,strictly_convex,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,2,0.27960587073822957,0.291276828128537,0.10047900653381392,0.4363606869929328,0.012236088696735816,0.625,-0.2212397287465761,strictly_concave,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,3,0.291276828128537,0.41804461476902366,0.05244605253573742,0.47094441387154784,0.006592216601961827,0.625,-0.26726130279598315,strictly_concave,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,4,0.41804461476902366,0.42086747310419564,-0.06505921435045203,0.525584362973626,0.015258230034818299,0.625,-0.3386457524293433,strictly_concave,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,5,0.42086747310419564,0.5903366637273555,-0.15275815208615473,0.5562789911811219,0.015258230034818299,0.625,-0.39208729261203706,strictly_concave,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,6,0.5903366637273555,0.7379793141838616,-0.23720804842784915,0.5550122427359965,0.016419416109516596,0.625,-0.42312262951760976,strictly_concave,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,7,0.7379793141838616,0.7549957734190053,-0.36055539663986536,0.5913997104585413,0.013798284960011252,0.625,-0.4966684858890245,strictly_concave,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,8,0.7549957734190053,0.7833665154996663,-0.36055539663986536,0.5913997104585413,0.013798284960011252,0.25,-0.15658635494461565,strictly_concave,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,9,0.7833665154996663,0.8300569296289845,-0.5278994972909162,0.6717248787710458,0.00417599917257583,0.25,-0.19674893910086788,strictly_concave,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,10,0.8300569296289845,0.8379218431858063,-0.5424732246654046,0.6795946915532696,0.0031194039379254263,0.25,-0.20068384549197976,strictly_concave,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,11,0.8379218431858063,0.9617118423181908,-0.5601700865744912,0.690124324389176,0.002079713300766589,0.25,-0.2054619982074331,strictly_concave,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
phase3_primitive_curvature_pullback,12,0.9617118423181908,1.0,-0.7871595969890347,0.7809201285549934,0.03896550874312991,0.0,0.03896550874312991,strictly_convex,T=E-FD+F^2C; sign(T)=sign(Pi_second) when F>-1,exact_primitive_pullback
