state,distance_to_centroid,mean_normalized_capability,mean_recognition_level
France,0.296097,0.729167,2.916667
United Kingdom,0.296097,0.729167,2.916667
India,0.296097,0.708333,2.833333
Israel,0.313194,0.666667,2.666667
Taiwan,0.504322,0.687500,2.750000
Russia,0.624305,0.770833,3.083333
Belgium,0.695347,0.541667,2.166667
Switzerland,0.717466,0.666667,2.666667
Pakistan,0.766599,0.479167,1.916667
China,0.937731,0.937500,3.750000
United States,1.077307,0.979167,3.916667
North Korea,1.347902,0.312500,1.250000
